Date,National_Debt
1966,320999
1966,316097
1966,324748
1966,329319
1967,330947
1967,322893
1967,335896
1967,344663
1968,349473
1968,345369
1968,354743
1968,358029
1969,359546
1969,352895
1969,360685
1969,368226
1970,372007
1970,370094
1970,378678
1970,389158
1971,391668
1971,397305
1971,412268
1971,424131
1972,427344
1972,426435
1972,433946
1972,448473
1973,458606
1973,457317
1973,460614
1973,469073
1974,473675
1974,474235
1974,481466
1974,492664
1975,509659
1975,533188
1975,553647
1975,576649
1976,600490
1976,620432
1976,634701
1976,653543
1977,669207
1977,674425
1977,698840
1977,718943
1978,737951
1978,749024
1978,771544
1978,789207
1979,796792
1979,804913
1979,826519
1979,845116
1980,863451
1980,877614
1980,907701
1980,930210
1981,964531
1981,971174
1981,997855
1981,1028729
1982,1061299
1982,1079630
1982,1142035
1982,1197074
1983,1244493
1983,1319581
1983,1377211
1983,1410702
1984,1463741
1984,1512697
1984,1572267
1984,1662966
1985,1710731
1985,1774640
1985,1823103
1985,1945942
1986,1986816
1986,2059349
1986,2125304
1986,2214835
1987,2246724
1987,2309296
1987,2350277
1987,2431715
1988,2487551
1988,2547656
1988,2602183
1988,2684392
1989,2740898
1989,2799923
1989,2857431
1989,2952994
1990,3051958
1990,3143754
1990,3233313
1990,3364820
1991,3465189
1991,3537988
1991,3665303
1991,3801698
1992,3881288
1992,3984656
1992,4064621
1992,4177009
1993,4230580
1993,4351950
1993,4411489
1993,4535687
1994,4575869
1994,4645802
1994,4692750
1994,4800150
1995,4864116
1995,4951372
1995,4973983
1995,4988665
1996,5117786
1996,5161076
1996,5224811
1996,5323172
1997,5380890
1997,5376151
1997,5413146
1997,5502388
1998,5542426
1998,5547935
1998,5526193
1998,5614217
1999,5651615
1999,5638780
1999,5656271
1999,5776091
2000,5773392
2000,5685938
2000,5674179
2000,5662216
2001,5773740
2001,5726815
2001,5807464
2001,5943439
2002,6006032
2002,6126469
2002,6228236
2002,6405707
2003,6460776
2003,6670121
2003,6783320
2003,6997964
2004,7131068
2004,7274335
2004,7379053
2004,7596143
2005,7776939
2005,7836496
2005,7932710
2005,8170413
2006,8371156
2006,8420042
2006,8506974
2006,8680224
2007,8849665
2007,8867677
2007,9007653
2007,9229172
2008,9437594
2008,9492006
2008,10024725
2008,10699805
2009,11126941
2009,11545275
2009,11909828
2009,12311349
2010,12773123
2010,13201792
2010,13561622
2010,14025215
2011,14270114
2011,14343087
2011,14790340
2011,15222940
2012,15606518
2012,15855037
2012,16066240
2012,16432730
2013,16771381
2013,16738320
2013,16738180
2013,17156119
2014,17601227
2014,17632606
2014,17824071
2014,18141444
2015,18152056
2015,18151998
2015,18150618
2015,18922179
2016,19264939
2016,19381591
2016,19573445
2016,19976827
2017,19846420
2017,19844554
2017,20244900
2017,20492747
2018,21089643
2018,21195070.0
2018,21516058.0
2018,21974096.0
2019,22027880.0
2019,22023283.0
2019,22719402.0
2019,23201380.0
2020,23223813.0
2020,26477241.0
2020,26945391.0
2020,27747798.0
2021,28132570.